filename,width,height,class,xmin,ymin,xmax,ymax
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,158,202,452,334
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,493,201,705,335
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,157,362,368,494
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,156,522,368,655
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,408,521,621,618
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,157,683,368,815
cTDaR_t10422_jpg.rf.7cdd7d40fb131b5e9fe24bef06d820d0.jpg,794,1123,table,156,852,368,986
cTDaR_t10519_jpg.rf.e82c80c6b9e7324706ef925b7b012c44.jpg,794,1123,table,63,162,714,782
cTDaR_t10428_jpg.rf.30466c2842ef9ae79cb10c487b1e60e7.jpg,794,1123,table,115,464,676,836
cTDaR_t10466_jpg.rf.3d5f16f611d5c6da87d5cc7766d6e7f3.jpg,794,1123,table,72,82,719,191
cTDaR_t10466_jpg.rf.3d5f16f611d5c6da87d5cc7766d6e7f3.jpg,794,1123,table,23,836,768,1021
cTDaR_t10444_jpg.rf.8304ff5d836d6005ba424ccf21673bfd.jpg,1061,1373,table,216,211,841,508
cTDaR_t10444_jpg.rf.8304ff5d836d6005ba424ccf21673bfd.jpg,1061,1373,table,216,662,841,1210
cTDaR_t10448_jpg.rf.ea8149e8f021d48c9dcb29c3c02c9afb.jpg,816,1056,table,524,70,740,171
cTDaR_t10448_jpg.rf.ea8149e8f021d48c9dcb29c3c02c9afb.jpg,816,1056,table,54,225,286,810
cTDaR_t10448_jpg.rf.ea8149e8f021d48c9dcb29c3c02c9afb.jpg,816,1056,table,291,225,522,811
cTDaR_t10448_jpg.rf.ea8149e8f021d48c9dcb29c3c02c9afb.jpg,816,1056,table,527,225,759,811
cTDaR_t10449_jpg.rf.7f5c1bae1b174a9ba3d1c7691e36b5ce.jpg,794,1123,table,78,390,728,1031
cTDaR_t10480_jpg.rf.00c67bda2403726200be0dafedbbe05e.jpg,816,1056,table,63,86,750,422
cTDaR_t10480_jpg.rf.00c67bda2403726200be0dafedbbe05e.jpg,816,1056,table,63,443,750,774
cTDaR_t10524_jpg.rf.773affda40e8e7741ed36064c7e06482.jpg,797,1124,table,59,378,742,773
cTDaR_t10524_jpg.rf.773affda40e8e7741ed36064c7e06482.jpg,797,1124,table,60,785,742,859
cTDaR_t10462_jpg.rf.4932f006ee3c677e2bd4263cad3f9d45.jpg,794,1123,table,63,476,713,682
cTDaR_t10462_jpg.rf.4932f006ee3c677e2bd4263cad3f9d45.jpg,794,1123,table,63,813,374,993
